Country Code,Access to electricity (% of population),Battle-related deaths (number of people),Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),GDP per capita (constant 2015 US$),"Labor force participation rate, total (% of total population ages 15+) (national estimate)","Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total",Proportion of seats held by women in national parliaments (%),Income Group,Region
UGA,51.5,..,1.9489,955.745797275462,..,68.252,36.2,61269,48656601,33.8129496402878,Low income,Sub-Saharan Africa
UKR,100,75080,12.9044,2164.26123046875,..,73.422,7.8,1730,37732836,20.4326923076923,Upper middle income,Europe & Central Asia
UMC,99.4286124139067,76330,1912.1262,9948.67495433201,..,76.1947274320673,11.3,331816,2809097616,26.9410196601133,,Upper middle income
URY,100,..,0.3938,18378.9833563662,64.584,78.138,6.1,206,3388081,26.2626262626263,High income,Latin America & Caribbean
USA,100,..,157.4261,65186.5977244157,62.604,78.3853658536585,5.5,20324,336806231,28.9655172413793,High income,North America
UZB,100,..,10.0494,3725.67414578619,..,72.388,13.1,12238,35652307,33.5714285714286,Lower middle income,Europe & Central Asia
VCT,100,..,0.0007,9051.35208011007,..,71.23,10.7,13,101323,18.1818181818182,Upper middle income,Latin America & Caribbean
VEN,100,..,5.9212,1430.74575249312,..,72.514,21.2,8975,28300854,..,,Latin America & Caribbean
VGB,100,..,0.0003,..,..,77.276,11.7,4,38985,..,High income,Latin America & Caribbean
VIR,100,..,0.0002,..,..,80.519512195122,..,..,104917,..,High income,Latin America & Caribbean
VNM,99.8,..,50.1898,3775.46375555802,72.206,74.588,12.4,17423,100352192,30.2605210420842,Lower middle income,East Asia & Pacific
VUT,61.6,..,0.0011,2733.35978526081,..,71.477,14.7,132,320409,1.92307692307692,Lower middle income,East Asia & Pacific
WLD,91.5991774421991,..,3226.5414089022,11631.716477221,..,73.3288401042825,28.4,3699467,8064057930,26.7357485206308,,World
WSM,100,..,0.0013,4688.4631403154,..,71.698,12.6,70,216663,12.962962962963,Upper middle income,East Asia & Pacific
XKX,..,..,..,5102.74914613981,35.637,78.033,8.3,173,1682668,..,Upper middle income,Europe & Central Asia
YEM,83.6,795,1.2617,..,..,69.295,34.9,47523,39390799,0,Low income,Middle East & North Africa
ZAF,87.7,..,18.2845,5756.55049453121,55.02,66.139,24.3,28769,63212384,45.8646616541353,Upper middle income,Sub-Saharan Africa
ZMB,51.1,..,1.2905,1330.85998216751,61.961,66.349,35,23706,20723965,14.9700598802395,Lower middle income,Sub-Saharan Africa
ZWE,62,..,0.9636,1418.47184628799,67.742,62.775,62.2,30569,16340822,30.6818181818182,Lower middle income,Sub-Saharan Africa
